Date,Description,Debit,Credit,Balance
01/10/2025,Opening Balance,0,0,"1,50,000"
03/10/2025,NEFT - Sharma Electricals sale receipt,0,"45,000","1,95,000"
05/10/2025,Supplier payment - Rajesh Fabrics,"28,500",0,"1,66,500"
08/10/2025,GST payment CPIN 251008XXXX - CGST,"8,250",0,"1,58,250"
10/10/2025,Rent - Industrial Area Jaipur,"15,000",0,"1,43,250"
12/10/2025,RTGS - Modern Office Co.,"0","62,000","2,05,250"
15/10/2025,Salary credit - Staff Oct,"42,000",0,"1,63,250"
18/10/2025,Electricity bill - JVVNL,"3,200",0,"1,60,050"
22/10/2025,NEFT - Krishna Stationers,0,"18,900","1,78,950"
25/10/2025,Raw material - Pune supplier,"35,000",0,"1,43,950"
28/10/2025,Misc office expenses,"2,400",0,"1,41,550"
01/11/2025,NEFT - Reliable Logistics,0,"95,000","2,36,550"
04/11/2025,Supplier payment - ABC Textiles,"23,625",0,"2,12,925"
07/11/2025,GST payment CPIN 251107XXXX - IGST,"14,250",0,"1,98,675"
10/11/2025,Rent - Industrial Area Jaipur,"15,000",0,"1,83,675"
12/11/2025,NEFT - Maa Caterers,0,"31,500","2,15,175"
15/11/2025,Salary credit - Staff Nov,"42,000",0,"1,73,175"
18/11/2025,Courier and logistics,"4,800",0,"1,68,375"
20/11/2025,Insurance premium annual,"12,000",0,"1,56,375"
22/11/2025,RTGS - Anjali Designs,0,"27,300","1,83,675"
25/11/2025,Raw material - local market,"19,500",0,"1,64,175"
28/11/2025,Telephone and internet,"2,100",0,"1,62,075"
01/12/2025,NEFT - Tirumala Foods,0,"48,600","2,10,675"
04/12/2025,Supplier payment - Rajesh Fabrics,"31,000",0,"1,79,675"
08/12/2025,GST payment CPIN 251208XXXX - CGST,"6,750",0,"1,72,925"
10/12/2025,Rent - Industrial Area Jaipur,"15,000",0,"1,57,925"
12/12/2025,NEFT - Modern Office Co.,0,"74,250","2,32,175"
15/12/2025,Salary credit - Staff Dec,"42,000",0,"1,90,175"
22/12/2025,Equipment maintenance,"8,500",0,"1,81,675"
28/12/2025,Year-end stock purchase,"55,000",0,"1,26,675"
